LisaForSenate
DanSullivan2014
FlakeforSenate
TomCottonAR
Boozman4AR
DianneFeinstein
KamalaHarris
BennetForCO
CoryGardner
DickBlumenthal
TomCarperforDE
ChrisCoonsforDE
NelsonForSenate
TeamMarco
Perduesenate
JohnnyIsakson
SchatzforHawaii
mazieforhawaii
crapo4senate
JimRisch
TammyForIl
DickDurbin
ToddYoungIN
GrassleyWorks
moranforkansas
Team_Mitch
Team_Rand
JohnKennedyLA
AngusKing2018
collins4senator
VanHollenForMD
BenCardinforMD
EdMarkey
elizabethforma
Peters4Michigan
TeamStabenow
TinaSmithMN
cindyhydesmith
RogerWicker
McCaskill2018
RoyBluntMO
DainesforMT
jontester
DebFischerNE
Sasse4Senate
CatherineForNV
DeanHeller
JeanneShaheen
Maggie_Hassan
Booker4Senate
Menendez4NJ
TeamHeinrich
tomudall
chuckschumer
kgillibrand2016
Burrforsenate
ThomTillis
HeidiHeitkamp
hoeven4senate
SherrodBrown
robportman
jameslankford
WydenForOregon
JeffMerkley
Bob_Casey
PatToomey
SheldonforRI
sengraham2016
votetimscott
RoundsforSenate
johnthune
LamarAlexander
TeamCornyn
tedcruz
OrrinHatch
MarkWarnerVA
MurrayCampaign
MariaCantwell
CapitoforWV
JoeManchinWV
tammybaldwin
EnziforWyo
barrassoforwyo
